entity,period,state,loan_count,total_book_value,avg_interest_rate
USL,2022Q4,US,4,3448007.0,2.9447
USL,2022Q4,UT,22,15766923.0,4.0679
USL,2022Q4,VA,72,57998421.0,4.7533
USL,2022Q4,WA,98,83119926.0,4.1994
USL,2022Q4,WI,4,42536612.0,5.0513
USL,2022Q4,WV,1,386992.0,3.875
USL,2023Q4,AL,7,14576239.0,3.7173
USL,2023Q4,AR,1,1051469.0,2.788
USL,2023Q4,AZ,22,13090418.0,4.0639
USL,2023Q4,CA,256,509744809.0,4.1647
USL,2023Q4,CAN,2,20996405.0,6.84
USL,2023Q4,CO,31,20162776.0,4.2784
USL,2023Q4,CT,9,27236923.0,4.4008
USL,2023Q4,DC,12,85106953.0,4.2347
USL,2023Q4,DE,3,1966742.0,4.8317
USL,2023Q4,DEU,4,177323696.0,5.2015
USL,2023Q4,ESP,2,92942457.0,7.083
USL,2023Q4,FIN,1,55232500.0,6.502
USL,2023Q4,FL,65,130795439.0,4.1804
USL,2023Q4,FRA,1,10934219.0,6.252
USL,2023Q4,GA,36,54413992.0,4.3203
USL,2023Q4,GBR,10,282137102.0,6.6331
USL,2023Q4,HI,8,153755813.0,4.4823
USL,2023Q4,ID,8,3713009.0,3.9038
USL,2023Q4,IL,29,80696588.0,4.4603
USL,2023Q4,IN,7,60276351.0,5.1439
USL,2023Q4,IRL,4,12404570.0,8.622
USL,2023Q4,KY,1,39565440.0,4.55
USL,2023Q4,LA,5,10167486.0,4.2382
USL,2023Q4,LAS,1,727818.0,2.724
USL,2023Q4,LOS,1,1000227.0,2.706
USL,2023Q4,MA,23,123497281.0,5.4423
USL,2023Q4,MD,33,29807367.0,4.4815
USL,2023Q4,MI,3,1271604.0,4.7043
USL,2023Q4,MN,12,11955460.0,4.3111
USL,2023Q4,MO,5,8114940.0,6.01
USL,2023Q4,MT,2,904585.0,4.6405
USL,2023Q4,NC,28,96344412.0,4.6825
USL,2023Q4,NH,1,409745.0,6.481
USL,2023Q4,NJ,52,223088338.0,6.0709
USL,2023Q4,NLD,6,101396385.0,4.372
USL,2023Q4,NM,5,3027064.0,4.0448
USL,2023Q4,NV,22,43322664.0,3.9598
USL,2023Q4,NY,78,801877769.0,5.1998
USL,2023Q4,OH,8,41222474.0,5.5928
USL,2023Q4,OK,8,3045935.0,5.8641
USL,2023Q4,OR,23,12152637.0,4.801
USL,2023Q4,PA,17,62809428.0,4.5877
USL,2023Q4,RI,4,20801603.0,4.2068
USL,2023Q4,SC,27,31034335.0,4.0607
USL,2023Q4,TN,28,36680391.0,3.591
USL,2023Q4,TX,92,282268278.0,4.4504
USL,2023Q4,US,3,2478992.0,2.9123
USL,2023Q4,UT,14,9585532.0,4.0698
USL,2023Q4,VA,51,44289656.0,4.7002
USL,2023Q4,WA,70,98686261.0,4.2575
USL,2023Q4,WI,4,41563161.0,5.0513
USL,2023Q4,WV,1,375140.0,3.875
USL,2024Q4,AL,7,14482120.0,3.7173
USL,2024Q4,AR,1,1026155.0,2.789
USL,2024Q4,AZ,21,12045758.0,4.0094
USL,2024Q4,CA,253,472201130.0,4.1401
